player_name,shotType,y_start,x_start,xg,new_y,new_x
Mohamed El Badoui,goal,44,2,0.4692,56,98
Mohamed El Badoui,save,43,9,0.09216,57,91
Mohssine Bourika,save,55,12,0.05917,45,88
Hilal Ferdaoussi,miss,69,34,0.0003562,31,66
Mohamed El Badoui,block,60,12,0.01647,40,88
Mohamed Radouani,block,33,34,0.02197,67,66
Mohssine Bourika,block,52,4,0.8012,48,96
Lahcen Gourbi,post,37,6,0.1601,63,94
Imad Riahi,block,24,23,0.001007,76,77
Oussarhan,miss,54,12,0.08028,46,88
Mohssine Bourika,miss,73,23,0.005775,27,77
Houdaifa El Mahasni,miss,74,24,0.02152,26,76
Imad Riahi,post,66,12,0.09171,34,88
Oussarhan,block,60,14,0.04091,40,86
Mohssine Abba,goal,54,9,0.2443,46,91
Mohssine Bourika,goal,50,14,0.1118,50,86
Imad Riahi,block,72,14,0.01574,28,86
Yassine Jbira,save,20,32,0.03735,80,68
Imad Riahi,miss,44,14,0.1393,56,86
Zakaria Hadraf,goal,50,10,0.76,50,90
Haytam Manaout,miss,33,24,0.01004,67,76
Brahim El Idrissi Bouzidi,block,63,25,0.03684,37,75
Zakaria Hadraf,block,52,16,0.1253,48,84
Tahar El Khalej,miss,51,5,0.1991,49,95
Brahim El Idrissi Bouzidi,miss,63,16,0.01324,37,84
Hicham Khaloua,miss,48,20,0.1051,52,80
Zakaria Hadraf,miss,43,22,0.01213,57,78
Bernard Obounou,save,54,6,0.6679,46,94
Youssef Lakhal,save,51,7,0.4161,49,93
Zakaria Hadraf,save,63,16,0.09096,37,84
Simon Diedhiou,miss,32,15,0.08027,68,85
Zakaria Bahrou,miss,33,5,0.04041,67,95
Ayman Dairani,miss,47,10,0.2495,53,90
Anass El Ghannouj,miss,28,24,0.02112,72,76
Mohamed Habbali,miss,64,19,0.07617,36,81
Simon Diedhiou,goal,66,17,0.06577,34,83
Ayman Dairani,goal,55,6,0.2553,45,94
Simon Diedhiou,miss,57,8,0.04827,43,92
Mohamed Habbali,miss,39,21,0.02419,61,79
Mohamed El Mehdi,miss,51,9,0.1214,49,91
Hamza Belouad,block,47,21,0.00761,53,79
Salaheddine Icharane,save,29,3,0.03585,71,97
Hamza Belouad,miss,29,9,0.0447,71,91
Pa Modou Sohna,save,22,21,0.04071,78,79
Hamza Hassani Boouia,miss,70,22,0.005133,30,78
Nouaman Aarab,block,45,24,0.001953,55,76
Mohamed Said Bouksyr,miss,52,25,0.02725,48,75
Mohamed Said Bouksyr,block,68,14,0.002588,32,86
Soulaimane El Bouchqali,miss,47,25,0.08356,53,75
Maati Tamaiazou,miss,69,8,0.1117,31,92
Maati Tamaiazou,block,70,8,0.01648,30,92
Youssef Sakhi,post,47,11,0.4364,53,89
Maati Tamaiazou,save,63,13,0.1633,37,87
Abdellatif Akhrif,miss,47,20,0.03059,53,80
Abdellatif Akhrif,miss,47,27,0.03707,53,73
Zouhair El Ouassli,save,66,5,0.3303,34,95
Elhadji Konate,save,40,11,0.04245,60,89
Soulaimane El Bouchqali,miss,30,8,0.003944,70,92
Soulaimane El Bouchqali,miss,45,10,0.3047,55,90
Faouzi Abdoul Mutalib,miss,34,7,0.06318,66,93
Abdellatif Akhrif,miss,72,18,0.0163,28,82
Lahcen Dahdouh,block,35,20,0.02172,65,80
Achraf Hmaidou,goal,63,23,0.05923,37,77
Nouaman Aarab,save,42,26,0.04189,58,74
Nouaman Aarab,block,54,33,0.01862,46,67
Ayoub El Jorfi,miss,57,11,0.08187,43,89
Ayoub El Jorfi,block,71,17,0.008339,29,83
Maati Tamaiazou,miss,66,11,0.08482,34,89
Youssef Sakhi,goal,46,12,0.1881,54,88
Zouhair El Ouassli,save,28,9,0.04518,72,91
Youness Moukhlis,miss,63,9,0.108,37,91
Mohamed Zrida,miss,51,15,0.1416,49,85
Youssef  Baba,miss,47,9,0.08751,53,91
Zakaria El Wardi,goal,46,15,0.06722,54,85
Mohamed Zrida,miss,34,25,0.01491,66,75
Zakaria El Wardi,goal,51,8,0.2045,49,92
Mohamed Zrida,block,60,10,0.4564,40,90
Zakaria El Wardi,save,46,14,0.07746,54,86
Naoufel Zerhouni,goal,61,4,0.1065,39,96
Abdellah Khafifi,save,65,26,0.02727,35,74
Abdelaziz El Hamzaoui,goal,47,10,0.1287,53,90
Oussama Lamlioui,miss,43,15,0.03661,57,85
Oussama Lamlioui,block,50,25,0.01064,50,75
Hamza El Moussaoui,miss,29,25,0.0211,71,75
