Player,Nationality,Team_x,Position,Age,Height,Preferred Foot,Shirt Number,Market Value,Player Image,Team Logo,rating,goals,assists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,penaltyConversion,totalCross,duelLost,aerialLost,attemptPenaltyMiss,totalLongBalls,goalsConceded,scoringFrequency,yellowRedCards,substitutionsIn,substitutionsOut,goalKicks,ballRecovery,appearances
Riad Benayad,ALG,Raja Club Athletic,Centre-Forward,27 yrs,182 cm,Right,9,€500k,https://api.sofascore.app/api/v1/player/1007579/image,https://api.sofascore.app/api/v1/team/41757/image,6.8,2,0,2,31,7,38,81.58,1,4,6,75,2,1,0,0,1,50,15,5,10,2,66.67,13,36.11,186,13.33,0,0,0,1,100,0,0,3,1,0,2,0,0,0,0,0,0,0,2,23,1,0,1,0,93.0,0,0,9,0,5,9
El Mehdi Maouhoub,MAR,Raja Club Athletic,Centre-Forward,21 yrs,186 cm,Right,49,€350k,https://api.sofascore.app/api/v1/player/1095726/image,https://api.sofascore.app/api/v1/team/41757/image,6.942105263,8,1,9,92,25,117,78.63,5,3,14,53.85,13,5,0,1,0,0,40,23,17,28,44.44,61,30.96,1085,20,0,0,0,1,100,7,3,8,30,4,10,1,1,0,0,0,11,0,7,136,35,0,1,0,135.625,1,8,8,0,31,19
Naoufel Zerhouni,MAR,Raja Club Athletic,Centre-Forward,28 yrs,173 cm,Left,11,€650k,https://api.sofascore.app/api/v1/player/919486/image,https://api.sofascore.app/api/v1/team/41757/image,7.239285714,7,3,10,485,113,598,81.1,23,25,60,73.17,21,1,0,0,20,40.82,72,25,47,7,20,164,33.95,2074,9.722,1,1,12,10,55.56,5,5,39,32,14,22,0,2,0,0,0,22,100,49,319,28,0,18,0,296.2857143,0,16,6,0,61,28
Victor Abrego,BOL,Raja Club Athletic,Centre-Forward,27 yrs,177 cm,Right,21,€500k,https://api.sofascore.app/api/v1/player/1016143/image,https://api.sofascore.app/api/v1/team/41757/image,6.333333333,0,0,0,3,0,3,100,2,0,0,0,1,0,0,0,0,0,0,0,0,1,50,3,37.5,55,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,0,0,4,0,1,4
Marouane Zila,MAR,Raja Club Athletic,Right Winger,27 yrs,183 cm,Right,97,€250k,https://api.sofascore.app/api/v1/player/1140881/image,https://api.sofascore.app/api/v1/team/41757/image,6.642857143,0,0,0,110,21,131,83.97,6,4,13,56.52,14,1,0,0,5,38.46,6,3,3,1,16.67,34,28.81,347,0,0,0,0,5,55.56,3,2,3,20,13,3,0,0,0,0,0,2,0,13,84,5,0,9,0,,0,2,17,0,23,19
Karim Achqar,MAR,Raja Club Athletic,Right Winger,19 yrs,172 cm,--,7,,https://api.sofascore.app/api/v1/player/1634345/image,https://api.sofascore.app/api/v1/team/41757/image,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
Yousri Bouzok,ALG,Raja Club Athletic,Right Winger,27 yrs,175 cm,Right,26,€1.40m,https://api.sofascore.app/api/v1/player/1007546/image,https://api.sofascore.app/api/v1/team/41757/image,7.781481481,14,8,22,845,197,1042,81.09,95,62,63,65.63,49,3,0,0,31,41.33,51,28,23,3,50,116,36.14,2278,27.45,5,5,0,43,62.32,17,2,27,17,28,6,1,2,0,0,0,24,100,75,205,3,0,69,0,162.7142857,0,13,3,0,89,27
Sabir Bougrine,MAR,Raja Club Athletic,Attacking Midfield,27 yrs,173 cm,Right,34,€900k,https://api.sofascore.app/api/v1/player/796155/image,https://api.sofascore.app/api/v1/team/41757/image,7.288888889,2,4,6,928,188,1116,83.15,138,29,61,64.89,39,4,0,0,9,24.32,36,10,26,8,34.78,164,41.84,2050,5.556,0,0,0,38,51.35,1,1,25,25,24,0,1,0,0,0,0,25,0,37,228,15,0,74,0,1025.0,0,22,2,0,112,27
El Mehdi Moubarik,MAR,Raja Club Athletic,Defensive Midfield,23 yrs,176 cm,Right,6,€900k,https://api.sofascore.app/api/v1/player/1014728/image,https://api.sofascore.app/api/v1/team/41757/image,6.87826087,0,0,0,1015,79,1094,92.78,148,9,8,72.73,69,1,0,0,3,60,7,1,6,12,44.44,70,30.17,1480,0,0,0,0,39,67.24,13,7,23,19,32,0,2,1,0,0,0,16,0,5,162,15,0,58,0,,0,10,7,0,148,23
Mohamed Zrida,MAR,Raja Club Athletic,Defensive Midfield,25 yrs,177 cm,Right,19,€1.10m,https://api.sofascore.app/api/v1/player/1008598/image,https://api.sofascore.app/api/v1/team/41757/image,6.94137931,1,2,3,787,177,964,81.64,100,15,26,52,68,7,0,0,7,25,23,4,19,24,42.11,151,39.43,1941,4.348,0,0,0,30,52.63,21,10,43,40,41,2,2,0,0,0,0,20,0,28,232,33,0,57,0,1941.0,0,11,9,0,159,29
